Spotify Playlist Count
19
12
11
11
6
12
7
7
4
9
5
7
4
10
3
6
4
6
7
6
9
5
3
5
6
1
7
6
8
8
6
5
6
5
4
9
6
1
8
12
14
10
10
6
16
11
6
14
13
19
22
22
35
43
40
54
55
68
66
84
110
143
138
150
174
170
185
170
155
174
166
146
135
136
104
104
88
85
81
70
35
33
19
23
10
13
14
3
1
3
1
6
1
1
